API Name,Operation,Application Name,200,400,401,408,500,Others
ngfs_global_router,/xml,ngfs_cargowise,2483,,,,,
b2b-global-router,/xml,amerock,24,,,,,
wms-psofteon-order,/order,skimsairboss,232,,,,,
system-geekplus,/containerrelease,softeon,229,,,,,
b2b-global-router,/xml,purestorage ci,22,,,,,
sysfgvshipment,/listingv2/{businessid},symphony,22,,,,,
b2b-global-interface,/json,boston scientific,216,,,,,
casemanagement,/caselisting,digicollab,21,,,,,
syseims-transportationdocs,/pdf,symphony,20,,,,,
system-geekplusotnet,/feederstatus,happyreturns,20,,,,,
system-cora,/timecardfileupload,cora,2,,,,,
system-cora,/drsfileupload,cora,2,,,,,
b2b-global-router,/xml,benq,2,,,,,
sysfgvshipment,/anonshipmentdetails,symphony,2,,,,,
casemanagement,/queryresult/{jobid},digicollab,2,,,,,
casemanagement,/querystatus/{jobid},digicollab,2,,,,,
casemanagement,/contactonboarding,symphony,2,,,,,
wms-psofteon-order,/order,liverpoolfc,2,,,,,
cfwsplus,/orderitemdetail,symphony,2,,,,,
syskardexsofteon,/inventoryupdate,kardex,2,,,,,
apollofreightshipments,/api/scsenterprise/v1/shipments/fulltrack,apac costco,2,,,,,
mexicocustomstoupsapps,/scsrespuestaaereos,mexicocustoms,2,,,,,
systemsymphonyadls,/contact,salesforce,2,,,,,
systemsymphonyadls,/contentdocument,salesforce,2,,,,,
systemsymphonyadls,/shipment,salesforce,2,,,,,
system-geekplusotnet,/querychutestatus,happyreturns,2,,,,,
eptrackerupdate,/trackerupdate,unknown,193,,,,,
wms-psofteon-routerreceiptconfirm,/receiptconfirm,softeon,19,,,,,
systemsymphonyadls,/contentdocumentlink,salesforce,18,,,,,
b2b-global-router,/json,lenovo,17,,,,,
system-geekplus,/skusynchronization,softeon,17,,,,,
wms-psofteon-commercialinvoice,/ci,rtm,17,,,,,
sysetps2,/carrierstatusupdate,dhl,17,,,,,
system-geekplusotnet,/skusynchronization,softeon,17,,,,,
wms-psofteon-routercartondetail,/cartondetail,softeon,166,,,,,
syseims-transportationdocs,/guid,fgv,163,,,,,
gff-syse2k-getsvccdetails,/svccdetails,scs digital,161,,,,,
syseims-transportationdocs,/guid,scs digital,16,,,,,
syse2k,/cnvrtpkprqst,scs digital,16,,,,,
system-ngss,/e2kmessage,ngss,1593,,,,,
